kepler_id,quarter,flare_start_time,flare_end_time,flare_peak_time,energy,excluded,Teff,Radius,logg,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD
2013754,16,1544.492645,1544.594816,1544.513079,1.34E+34,FALSE,4505,0.741,4.571,0.009310812,0.102171234,56377.49264,56377.59482,56377.51308
2013754,16,1492.059562,1492.161729,1492.079995,1.35E+34,FALSE,4505,0.741,4.571,0.008501021,0.102166554,56325.05956,56325.16173,56325.08
2013754,5,457.2628593,457.365032,457.2832937,1.39E+34,FALSE,4505,0.741,4.571,0.011503815,0.102172748,55290.26286,55290.36503,55290.28329
2013754,6,607.5969842,607.69915,607.6174174,1.45E+34,FALSE,4505,0.741,4.571,0.007761699,0.102165738,55440.59698,55440.69915,55440.61742
2013754,10,925.5029422,925.6051124,925.5233763,1.52E+34,FALSE,4505,0.741,4.571,0.012005224,0.102170283,55758.50294,55758.60511,55758.52338
2013754,9,858.4780472,858.5597857,858.4984818,1.92E+34,FALSE,4505,0.741,4.571,0.010209906,0.081738559,55691.47805,55691.55979,55691.49848
2013754,3,319.459158,319.5817533,319.4795906,2.00E+34,FALSE,4505,0.741,4.571,0.033117576,0.12259531,55152.45916,55152.58175,55152.47959
2013754,9,842.2529417,842.3551149,842.2733764,2.11E+34,FALSE,4505,0.741,4.571,0.033174521,0.102173202,55675.25294,55675.35511,55675.27338
2013754,1,147.2472581,147.3698649,147.2676926,2.29E+34,FALSE,4505,0.741,4.571,0.018096915,0.122606793,54980.24726,54980.36986,54980.26769
2013754,15,1386.831091,1386.953687,1386.851523,2.39E+34,FALSE,4505,0.741,4.571,0.01715988,0.122596112,56219.83109,56219.95369,56219.85152
2013754,15,1408.673544,1408.837004,1408.693977,2.76E+34,FALSE,4505,0.741,4.571,0.072903884,0.163460289,56241.67354,56241.837,56241.69398
2013754,14,1342.552863,1342.71633,1342.59373,3.20E+34,FALSE,4505,0.741,4.571,0.020695096,0.163466488,56175.55286,56175.71633,56175.59373
2013754,13,1198.716302,1198.838909,1198.757171,3.23E+34,FALSE,4505,0.741,4.571,0.017095965,0.122607381,56031.7163,56031.83891,56031.75717
2013754,13,1259.284469,1259.427511,1259.304904,3.83E+34,FALSE,4505,0.741,4.571,0.068385972,0.143041508,56092.28447,56092.42751,56092.3049
2021440,7,642.6599775,642.7212756,642.6804102,5.68E+34,FALSE,5150,0.71,4.628,0.007186961,0.061298099,55475.65998,55475.72128,55475.68041
2140389,9,818.3858042,818.4471078,818.4062388,1.67E+34,FALSE,5066,0.709,4.625,0.014343134,0.061303614,55651.3858,55651.44711,55651.40624
2159486,5,492.1038754,492.1651794,492.1243101,1.24E+34,FALSE,4879,0.735,4.558,0.005706377,0.061303983,55325.10388,55325.16518,55325.12431
2159486,15,1385.073879,1385.135177,1385.094312,1.71E+34,FALSE,4879,0.735,4.558,0.015083767,0.06129812,56218.07388,56218.13518,56218.09431
2159486,5,535.3024046,535.3637075,535.322839,1.79E+34,FALSE,4879,0.735,4.558,0.006784361,0.061302871,55368.3024,55368.36371,55368.32284
2159486,12,1151.165844,1151.24758,1151.186278,1.86E+34,FALSE,4879,0.735,4.558,0.007702391,0.081735416,55984.16584,55984.24758,55984.18628
2159486,4,362.2657683,362.3270674,362.2862014,1.91E+34,FALSE,4879,0.735,4.558,0.006817251,0.061299137,55195.26577,55195.32707,55195.2862
2159486,12,1165.530952,1165.633123,1165.571821,2.06E+34,FALSE,4879,0.735,4.558,0.011041928,0.102170617,55998.53095,55998.63312,55998.57182
2159486,10,916.7162659,916.8184366,916.7367,2.16E+34,FALSE,4879,0.735,4.558,0.008278153,0.102170724,55749.71627,55749.81844,55749.7367
2159486,5,445.3904148,445.4517182,445.4108493,2.18E+34,FALSE,4879,0.735,4.558,0.005127836,0.061303321,55278.39041,55278.45172,55278.41085
2159486,5,503.6698648,503.7311686,503.6902994,2.18E+34,FALSE,4879,0.735,4.558,0.009366617,0.061303742,55336.66986,55336.73117,55336.6903
2159486,6,625.6189013,625.6802,625.6393342,2.19E+34,FALSE,4879,0.735,4.558,0.006396413,0.061298757,55458.6189,55458.6802,55458.63933
2159486,15,1431.619266,1431.680563,1431.639698,2.20E+34,FALSE,4879,0.735,4.558,0.017787624,0.06129762,56264.61927,56264.68056,56264.6397
2159486,15,1441.712955,1441.794685,1441.733388,2.25E+34,FALSE,4879,0.735,4.558,0.010214056,0.081730481,56274.71295,56274.79469,56274.73339
2159486,12,1160.381563,1160.524601,1160.401997,2.51E+34,FALSE,4879,0.735,4.558,0.010059029,0.143038278,55993.38156,55993.5246,55993.402
2159486,5,514.8679972,514.9497352,514.8884317,2.61E+34,FALSE,4879,0.735,4.558,0.015510243,0.081738012,55347.868,55347.94974,55347.88843
2159486,4,428.0212367,428.0825394,428.0416711,2.62E+34,FALSE,4879,0.735,4.558,0.009868503,0.061302662,55261.02124,55261.08254,55261.04167
2159486,16,1554.525887,1554.587191,1554.546322,2.72E+34,FALSE,4879,0.735,4.558,0.00742762,0.061303074,56387.52589,56387.58719,56387.54632
2159486,14,1349.561461,1349.622761,1349.581894,2.92E+34,FALSE,4879,0.735,4.558,0.014798524,0.061299564,56182.56146,56182.62276,56182.58189
2159486,9,836.8377653,836.8990691,836.8581999,3.07E+34,FALSE,4879,0.735,4.558,0.006625194,0.061303882,55669.83777,55669.89907,55669.8582
2159486,16,1544.717424,1544.799161,1544.758292,3.30E+34,FALSE,4879,0.735,4.558,0.022547909,0.081737006,56377.71742,56377.79916,56377.75829
2159486,7,639.411051,639.4723492,639.4314837,3.58E+34,FALSE,4879,0.735,4.558,0.008786209,0.06129816,55472.41105,55472.47235,55472.43148
2159486,4,434.9484539,435.0301912,434.9688882,3.58E+34,FALSE,4879,0.735,4.558,0.025052187,0.081737268,55267.94845,55268.03019,55267.96889
2159486,13,1235.784692,1235.86643,1235.805126,3.62E+34,FALSE,4879,0.735,4.558,0.037894786,0.081738512,56068.78469,56068.86643,56068.80513
2159486,16,1550.949878,1551.031615,1550.970312,3.64E+34,FALSE,4879,0.735,4.558,0.009733634,0.081737151,56383.94988,56384.03161,56383.97031
2159486,16,1494.715903,1494.797636,1494.736336,3.64E+34,FALSE,4879,0.735,4.558,0.012031354,0.081733355,56327.7159,56327.79764,56327.73634
2159486,9,841.1903371,841.2720755,841.2107716,3.86E+34,FALSE,4879,0.735,4.558,0.008948081,0.081738353,55674.19034,55674.27208,55674.21077
2159486,13,1211.937471,1212.01921,1211.97834,3.90E+34,FALSE,4879,0.735,4.558,0.015766851,0.081738529,56044.93747,56045.01921,56044.97834
2159486,9,831.6269462,831.7291192,831.6678153,4.31E+34,FALSE,4879,0.735,4.558,0.019328304,0.102172919,55664.62695,55664.72912,55664.66782
2159486,5,505.6520189,505.7746264,505.6928881,4.32E+34,FALSE,4879,0.735,4.558,0.011300735,0.122607514,55338.65202,55338.77463,55338.69289
2159486,13,1250.354566,1250.436305,1250.375001,4.35E+34,FALSE,4879,0.735,4.558,0.012996618,0.08173836,56083.35457,56083.4363,56083.375
2159486,4,390.7906553,390.8928231,390.8110888,4.37E+34,FALSE,4879,0.735,4.558,0.011252681,0.102167849,55223.79066,55223.89282,55223.81109
2159486,13,1197.510663,1197.612836,1197.551532,4.62E+34,FALSE,4879,0.735,4.558,0.023759884,0.102172584,56030.51066,56030.61284,56030.55153
2159486,8,768.0561954,768.1583638,768.0970627,4.72E+34,FALSE,4879,0.735,4.558,0.013642147,0.102168384,55601.0562,55601.15836,55601.09706
2159486,16,1518.051033,1518.153201,1518.071466,4.74E+34,FALSE,4879,0.735,4.558,0.036389167,0.102168795,56351.05103,56351.1532,56351.07147
2159486,7,680.1740553,680.235353,680.1944878,4.93E+34,FALSE,4879,0.735,4.558,0.016537154,0.061297663,55513.17406,55513.23535,55513.19449
2159486,13,1229.449954,1229.552127,1229.490823,5.16E+34,FALSE,4879,0.735,4.558,0.013188909,0.10217319,56062.44995,56062.55213,56062.49082
2159486,17,1587.364116,1587.42542,1587.384551,5.24E+34,FALSE,4879,0.735,4.558,0.011066592,0.061303856,56420.36412,56420.42542,56420.38455
2159486,9,885.4312721,885.5538793,885.4721412,5.24E+34,FALSE,4879,0.735,4.558,0.01640607,0.122607279,55718.43127,55718.55388,55718.47214
2159486,16,1538.873246,1538.975417,1538.89368,5.43E+34,FALSE,4879,0.735,4.558,0.04694423,0.102170693,56371.87325,56371.97542,56371.89368
2159486,8,739.4085699,739.5311689,739.4290031,6.04E+34,FALSE,4879,0.735,4.558,0.013698041,0.122598955,55572.40857,55572.53117,55572.429
2159486,7,699.380662,699.4419599,699.4010945,6.13E+34,FALSE,4879,0.735,4.558,0.010596012,0.061297831,55532.38066,55532.44196,55532.40109
2159486,4,367.9461678,368.0891999,367.9870341,6.15E+34,FALSE,4879,0.735,4.558,0.009469084,0.143032108,55200.94617,55201.0892,55200.98703
2159486,14,1367.685579,1367.746878,1367.706012,6.41E+34,FALSE,4879,0.735,4.558,0.012087271,0.061298849,56200.68558,56200.74688,56200.70601
2159486,4,369.785152,369.9486173,369.8260183,6.60E+34,FALSE,4879,0.735,4.558,0.019404085,0.163465315,55202.78515,55202.94862,55202.82602
2159486,7,681.7269273,681.8086575,681.7473599,6.66E+34,FALSE,4879,0.735,4.558,0.050111882,0.081730194,55514.72693,55514.80866,55514.74736
2159486,7,673.9012709,673.9830008,673.9217033,7.13E+34,FALSE,4879,0.735,4.558,0.015293307,0.081729973,55506.90127,55506.983,55506.9217
2159486,6,551.4249811,551.5067173,551.445415,7.41E+34,FALSE,4879,0.735,4.558,0.022490964,0.081736179,55384.42498,55384.50672,55384.44542
2159486,14,1329.128101,1329.209835,1329.148534,7.52E+34,FALSE,4879,0.735,4.558,0.022431966,0.081734108,56162.1281,56162.20983,56162.14853
2159486,6,614.7485639,614.8507291,614.7689968,7.91E+34,FALSE,4879,0.735,4.558,0.014311928,0.102165201,55447.74856,55447.85073,55447.769
2159486,14,1339.773924,1339.855657,1339.794357,8.52E+34,FALSE,4879,0.735,4.558,0.01619745,0.081733492,56172.77392,56172.85566,56172.79436
2159486,17,1570.362552,1570.464725,1570.382987,8.73E+34,FALSE,4879,0.735,4.558,0.055947395,0.102172602,56403.36255,56403.46472,56403.38299
2159486,6,595.1940152,595.3166154,595.234882,8.81E+34,FALSE,4879,0.735,4.558,0.069673282,0.122600217,55428.19402,55428.31662,55428.23488
2159486,7,701.8734423,701.9551728,701.8938749,9.12E+34,FALSE,4879,0.735,4.558,0.022573295,0.081730524,55534.87344,55534.95517,55534.89387
2159486,7,675.7401978,675.8627929,675.7606303,1.04E+35,FALSE,4879,0.735,4.558,0.057988043,0.122595106,55508.7402,55508.86279,55508.76063
2159486,7,692.5357441,692.6583395,692.5766092,1.37E+35,FALSE,4879,0.735,4.558,0.070584077,0.122595388,55525.53574,55525.65834,55525.57661
2298664,10,995.2831892,995.4057867,995.3240551,5.68E+34,FALSE,5062,0.731,4.615,0.015418542,0.122597446,55828.28319,55828.40579,55828.32406
2301985,5,464.9871297,465.0484334,465.0075642,1.01E+34,FALSE,5127,0.724,4.558,0.00495631,0.061303771,55297.98713,55298.04843,55298.00756
2308071,11,1081.999368,1082.060666,1082.0198,2.85E+34,FALSE,5128,0.739,4.609,0.007306685,0.061298054,55914.99937,55915.06067,55915.0198
2442210,14,1361.085715,1361.147014,1361.106148,1.41E+34,FALSE,5152,0.786,4.517,0.00975319,0.061299038,56194.08571,56194.14701,56194.10615
2443037,8,758.0029003,758.0642007,758.0233337,2.95E+33,FALSE,4536,0.733,4.567,0.00272559,0.061300347,55591.0029,55591.0642,55591.02333
2443037,4,404.419942,404.5016773,404.4403759,3.85E+33,FALSE,4536,0.733,4.567,0.005448151,0.081735387,55237.41994,55237.50168,55237.44038
2443037,3,336.2547885,336.3160865,336.2752213,4.07E+33,FALSE,4536,0.733,4.567,0.004274293,0.061298059,55169.25479,55169.31609,55169.27522
2443037,13,1190.215549,1190.276852,1190.235983,4.10E+33,FALSE,4536,0.733,4.567,0.003755062,0.06130333,56023.21555,56023.27685,56023.23598
2443037,11,1030.468381,1030.529679,1030.488813,4.34E+33,FALSE,4536,0.733,4.567,0.004236798,0.061297714,55863.46838,55863.52968,55863.48881
2443037,16,1556.814538,1556.875841,1556.834972,5.10E+33,FALSE,4536,0.733,4.567,0.003270484,0.061303239,56389.81454,56389.87584,56389.83497
2443037,16,1512.922176,1512.983477,1512.942609,5.10E+33,FALSE,4536,0.733,4.567,0.003815985,0.061301137,56345.92218,56345.98348,56345.94261
2443037,12,1124.683863,1124.765597,1124.704297,5.80E+33,FALSE,4536,0.733,4.567,0.004742414,0.081733617,55957.68386,55957.7656,55957.7043
2453079,3,307.2611253,307.3224228,307.2815578,2.34E+34,FALSE,4873,0.783,4.53,0.014703439,0.061297516,55140.26113,55140.32242,55140.28156
2555722,2,219.419974,219.481274,219.4404073,1.75E+34,FALSE,5066,0.827,4.496,0.00547132,0.061299953,55052.41997,55052.48127,55052.44041
2555722,3,296.1043957,296.1656934,296.1248281,4.74E+34,FALSE,5066,0.827,4.496,0.006886882,0.061297675,55129.1044,55129.16569,55129.12483
2556081,2,178.9409319,179.0022338,178.9613658,2.27E+34,FALSE,4753,0.815,4.514,0.011135867,0.061301912,55011.94093,55012.00223,55011.96137
2570059,7,689.4299337,689.4912314,689.4503661,7.85E+34,FALSE,5071,0.796,4.514,0.034612981,0.06129771,55522.42993,55522.49123,55522.45037
2572455,13,1231.840841,1231.902144,1231.861275,8.67E+33,FALSE,5132,0.881,4.492,0.002606988,0.061303865,56064.84084,56064.90214,56064.86128
2572490,3,310.2849253,310.3462229,310.3053578,1.78E+34,FALSE,4941,0.884,4.462,0.008413881,0.061297603,55143.28493,55143.34622,55143.30536
2579041,9,882.3251493,882.4068874,882.3455838,1.19E+34,FALSE,4584,0.732,4.567,0.007813591,0.081738073,55715.32515,55715.40689,55715.34558
2579041,11,1092.338337,1092.460934,1092.35877,3.50E+34,FALSE,4584,0.732,4.567,0.019093957,0.122596936,55925.33834,55925.46093,55925.35877
2695106,13,1231.820742,1231.882046,1231.841176,1.97E+34,FALSE,5035,0.755,4.58,0.007261386,0.061303756,56064.82074,56064.88205,56064.84118
2845526,17,1560.983246,1561.085418,1561.00368,1.45E+34,FALSE,5167,0.71,4.567,0.004534506,0.102172272,56393.98325,56394.08542,56394.00368
2852798,3,346.1442621,346.2055606,346.1646949,3.06E+34,FALSE,4930,0.72,4.62,0.017949251,0.061298412,55179.14426,55179.20556,55179.16469
2854839,12,1105.027163,1105.088462,1105.047596,4.68E+33,FALSE,4955,0.751,4.561,0.003238709,0.061299051,55938.02716,55938.08846,55938.0476
2854839,15,1467.887344,1467.948643,1467.907777,5.59E+33,FALSE,4955,0.751,4.561,0.002073092,0.06129862,56300.88734,56300.94864,56300.90778
2854839,10,920.6191242,920.6804266,920.6395584,6.83E+33,FALSE,4955,0.751,4.561,0.003799353,0.06130237,55753.61912,55753.68043,55753.63956
2854839,12,1156.049559,1156.131295,1156.069993,8.82E+33,FALSE,4955,0.751,4.561,0.003935005,0.081735859,55989.04956,55989.13129,55989.06999
2854839,12,1141.92979,1142.011525,1141.950224,8.82E+33,FALSE,4955,0.751,4.561,0.004371452,0.081734739,55974.92979,55975.01152,55974.95022
2854839,15,1445.942577,1446.04474,1445.983442,8.86E+33,FALSE,4955,0.751,4.561,0.00381941,0.102163139,56278.94258,56279.04474,56278.98344
2854839,6,577.0081525,577.0694535,577.0285862,9.40E+33,FALSE,4955,0.751,4.561,0.004355169,0.061301045,55410.00815,55410.06945,55410.02859
2854839,15,1401.113552,1401.236147,1401.133984,9.42E+33,FALSE,4955,0.751,4.561,0.003114896,0.122595559,56234.11355,56234.23615,56234.13398
2854839,10,951.2699657,951.3312667,951.2903995,1.04E+34,FALSE,4955,0.751,4.561,0.004483243,0.06130103,55784.26997,55784.33127,55784.2904
2854839,6,574.8217462,574.8830473,574.84218,1.06E+34,FALSE,4955,0.751,4.561,0.004456463,0.061301153,55407.82175,55407.88305,55407.84218
2854839,11,1013.652356,1013.774952,1013.672789,1.29E+34,FALSE,4955,0.751,4.561,0.027586844,0.122596313,55846.65236,55846.77495,55846.67279
2854839,2,257.3032039,257.3645025,257.3236369,1.34E+34,FALSE,4955,0.751,4.561,0.00495298,0.061298614,55090.3032,55090.3645,55090.32364
2854839,4,414.2486484,414.3099503,414.2690823,1.43E+34,FALSE,4955,0.751,4.561,0.00852279,0.061301926,55247.24865,55247.30995,55247.26908
2854839,2,185.5818725,185.6431746,185.6023066,1.52E+34,FALSE,4955,0.751,4.561,0.007263241,0.061302044,55018.58187,55018.64317,55018.60231
2854839,6,625.6189197,625.7006514,625.6393527,1.53E+34,FALSE,4955,0.751,4.561,0.010086531,0.081731738,55458.61892,55458.70065,55458.63935
