kepler_id,flare_peak_BJD,This work,,,,,Okamoto et al. (2021),,,,
,,Teff,Radius,P_rot,Duration,Energy,Teff,Radius,P_rot,Duration,Energy
7354508,55728.20,5986,1.11,17,0.06,3.78E+34,5988,1.156,17.794,0.1,2.10E+34
7354508,55901.74,5986,1.11,17,0.06,2.92E+34,5988,1.156,17.794,0.06,8.90E+33
7532880,54957.30,5808,0.969,2,0.14,3.59E+35,5809,1.004,2.187,0.25,2.50E+35
7532880,54980.41,5808,0.969,2,0.12,4.19E+35,5809,1.004,2.187,0.23,2.50E+35
7532880,55003.64,5808,0.969,2,0.12,2.73E+35,5809,1.004,2.187,0.25,1.80E+35
7532880,55007.55,5808,0.969,2,0.10,2.07E+35,5809,1.004,2.187,0.23,1.80E+35
7532880,55048.58,5808,0.969,2,0.12,2.38E+35,5809,1.004,2.187,0.21,2.40E+35
7532880,55083.81,5808,0.969,2,0.18,4.12E+35,5809,1.004,2.187,0.25,3.00E+35
7532880,55086.71,5808,0.969,2,0.06,1.40E+35,5809,1.004,2.187,0.15,6.60E+34
7532880,55234.91,5808,0.969,2,0.08,6.80E+34,5809,1.004,2.187,0.12,1.20E+35
7532880,55239.03,5808,0.969,2,0.06,5.80E+34,5809,1.004,2.187,0.21,5.60E+34
7532880,55285.15,5808,0.969,2,0.06,1.17E+35,5809,1.004,2.187,0.12,7.60E+34
7532880,55292.69,5808,0.969,2,0.10,1.76E+35,5809,1.004,2.187,0.17,1.30E+35
7532880,55361.60,5808,0.969,2,0.10,1.87E+35,5809,1.004,2.187,0.21,1.10E+35
7532880,55374.49,5808,0.969,2,0.12,2.72E+35,5809,1.004,2.187,0.23,3.60E+35
7532880,55402.30,5808,0.969,2,0.10,2.54E+35,5809,1.004,2.187,0.19,1.00E+35
7532880,55407.66,5808,0.969,2,0.08,1.07E+35,5809,1.004,2.187,0.19,1.10E+35
7532880,55417.85,5808,0.969,2,0.06,7.30E+34,5809,1.004,2.187,0.12,4.10E+34
7532880,55424.41,5808,0.969,2,0.06,7.99E+34,5809,1.004,2.187,0.1,5.40E+34
7532880,55680.10,5808,0.969,2,0.12,3.13E+35,5809,1.004,2.187,0.23,2.40E+35
7532880,55909.54,5808,0.969,2,0.06,6.47E+34,5809,1.004,2.187,0.21,6.70E+34
7532880,56135.28,5808,0.969,2,0.06,6.21E+34,5809,1.004,2.187,0.15,6.90E+34
7532880,56151.81,5808,0.969,2,0.08,7.03E+34,5809,1.004,2.187,0.19,5.30E+34
7532880,56156.71,5808,0.969,2,0.06,4.71E+34,5809,1.004,2.187,0.21,6.50E+34
7532880,56193.43,5808,0.969,2,0.06,4.71E+34,5809,1.004,2.187,0.06,7.20E+34
7532880,56197.89,5808,0.969,2,0.06,5.23E+34,5809,1.004,2.187,0.08,4.00E+34
7532880,56200.22,5808,0.969,2,0.06,6.24E+34,5809,1.004,2.187,0.21,5.40E+34
7532880,56258.63,5808,0.969,2,0.06,7.19E+34,5809,1.004,2.187,0.15,6.30E+34
7532880,56273.63,5808,0.969,2,0.06,8.58E+34,5809,1.004,2.187,0.1,5.00E+34
7532880,56289.38,5808,0.969,2,0.08,9.33E+34,5809,1.004,2.187,0.15,1.70E+35
7532880,56299.62,5808,0.969,2,0.08,1.07E+35,5809,1.004,2.187,0.19,6.70E+34
7761519,55049.07,5383,0.939,10,0.06,1.58E+34,5383,1.195,19.98,0.06,1.30E+34
