kepler_id,quarter,flare_start_time,flare_end_time,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD,Prot source
11465959,6,545.4978541,545.5591566,545.5182882,1.65E+34,FALSE,5938,0.913,4.474,2,0.0026,0.061302495,55378.49785,55378.55916,55378.51829,This work
11466610,1,138.3367721,138.3980751,138.3572066,1.24E+34,FALSE,5798,1.028,4.338,15,0.0019,0.06130301,54971.33677,54971.39808,54971.35721,This work
11466610,14,1328.350635,1328.411937,1328.371069,2.37E+34,FALSE,5798,1.028,4.338,15,0.003494633,0.061301366,56161.35064,56161.41194,56161.37107,This work
11466610,14,1300.151788,1300.233525,1300.172222,3.05E+34,FALSE,5798,1.028,4.338,15,0.004580492,0.081736333,56133.15179,56133.23352,56133.17222,This work
11466610,9,833.8540103,833.9153129,833.8744444,3.06E+34,FALSE,5798,1.028,4.338,15,0.002595344,0.061302639,55666.85401,55666.91531,55666.87444,This work
11466610,6,620.8372032,620.9189367,620.8576367,5.97E+34,FALSE,5798,1.028,4.338,15,0.0067,0.081733467,55453.8372,55453.91894,55453.85764,This work
11466610,2,226.7549546,226.8571226,226.7958217,7.20E+34,FALSE,5798,1.028,4.338,15,0.0017,0.10216803,55059.75495,55059.85712,55059.79582,This work
11466610,4,426.2847315,426.3664667,426.3051653,9.90E+34,FALSE,5798,1.028,4.338,15,0.0049,0.081735223,55259.28473,55259.36647,55259.30517,This work
11466610,4,426.1212611,426.2234301,426.1621287,1.32E+35,FALSE,5798,1.028,4.338,15,0.0149,0.10216892,55259.12126,55259.22343,55259.16213,This work
11469178,14,1331.946993,1332.008294,1331.967427,9.16E+33,FALSE,5458,0.983,4.378,12,0.00105374,0.061301304,56164.94699,56165.00829,56164.96743,This work
11469178,11,1064.918596,1064.979895,1064.939029,9.34E+33,FALSE,5458,0.983,4.378,12,0.001483221,0.061298424,55897.9186,55897.97989,55897.93903,This work
11469178,16,1511.717467,1511.778767,1511.737901,1.21E+34,FALSE,5458,0.983,4.378,12,0.001442924,0.061300126,56344.71747,56344.77877,56344.7379,This work
11469178,16,1513.188671,1513.249972,1513.209105,1.29E+34,FALSE,5458,0.983,4.378,12,0.001839323,0.061300185,56346.18867,56346.24997,56346.2091,This work
11469178,14,1320.606212,1320.667514,1320.626646,1.36E+34,FALSE,5458,0.983,4.378,12,0.002834979,0.061301896,56153.60621,56153.66751,56153.62665,This work
11469178,14,1287.584759,1287.646062,1287.605194,1.36E+34,FALSE,5458,0.983,4.378,12,0.002954913,0.061302613,56120.58476,56120.64606,56120.60519,This work
11469178,11,1003.067998,1003.129297,1003.088431,1.43E+34,FALSE,5458,0.983,4.378,12,0.00145978,0.061299709,55836.068,55836.1293,55836.08843,This work
