kepler_id,RA,Dec,Teff,logg,Radius,Prot
9790337,298.73624,46.527142,9336,4.069,2.309,
9790479,298.77322,46.584751,8066,4.041,2.116,
9791509,299.06335,46.53413,7992,4.107,1.976,
9812351,281.543,46.630829,7732,3.148,7.8,
9812716,281.81229,46.61076,7573,4.085,1.916,
9814138,282.81271,46.617249,7865,4.001,2.241,
9818160,285.0946,46.682732,9005,3.84,2.773,
9822180,287.50076,46.673439,8437,3.785,2.984,
9823602,288.3053,46.695332,7721,3.845,2.76,
9823652,288.33127,46.62212,7675,3.899,2.578,
9824673,288.92004,46.695442,7502,4.089,1.757,
9828226,290.63107,46.622921,9155,4.032,2.403,
9832545,292.45782,46.657539,8120,3.946,2.405,
9832727,292.5459,46.650311,7914,4.037,2.128,
9836020,293.9296,46.667488,7709,4.089,1.98,
9836073,293.95172,46.624981,7705,4.102,1.927,
9837267,294.38998,46.61911,8199,3.911,2.756,
9839044,295.05997,46.648106,8329,4.164,1.875,
9839575,295.25528,46.693508,9748,4.222,1.928,
9843435,296.62152,46.670429,7512,4.167,1.69,
9845573,297.28668,46.654831,8953,4.009,2.446,
9845907,297.37689,46.667149,8148,4.014,2.282,
9848190,297.99042,46.610359,9629,4.066,2.37,
9851484,298.89606,46.670391,8961,3.955,2.64,
9893388,292.896,46.755989,7691,3.761,3.174,
9895269,293.68848,46.767349,8552,3.921,2.691,
9895543,293.80325,46.750542,7778,3.739,3.087,
9895857,293.93231,46.720081,8163,4.095,2.039,
9896939,294.3063,46.724628,9183,3.94,2.742,
9897254,294.4194,46.79483,8900,4.031,2.128,
9898364,294.83032,46.734348,7530,4.08,1.93,
9898401,294.84482,46.70417,7592,3.725,3.142,
9899216,295.16165,46.750637,8133,4.146,1.935,
9899416,295.22809,46.784889,8853,3.742,3.57,
9899848,295.3812,46.762661,8947,4.018,2.412,
9903360,296.58319,46.741791,7970,4.114,1.953,
9908321,298.06903,46.790958,8163,4.095,2.039,
9910533,298.71347,46.73225,8443,3.755,3.127,
9911112,298.87128,46.75198,8982,4.111,2.123,
9913481,299.58655,46.765541,7624,3.622,3.682,
9933239,281.83511,46.898689,8806,3.811,2.89,
9941662,286.97119,46.868359,9107,3.867,3.031,
9943441,288.03409,46.852531,7773,3.613,3.653,
9944438,288.62915,46.883862,8423,3.574,3.927,
9945390,289.15405,46.843914,8269,3.633,3.889,
9947026,289.99149,46.889278,7641,3.871,2.371,
9953617,292.80392,46.80378,7769,3.729,3.122,
9953894,292.92172,46.812111,7511,3.685,3.334,
9954643,293.27316,46.826855,8603,3.847,3.061,
9958071,294.62842,46.825459,9142,4.237,1.806,
9958307,294.72232,46.84444,8707,3.821,2.85,
9963609,296.68109,46.888618,7780,4.142,1.816,
9963639,296.69196,46.869171,9795,4.217,1.944,
9963667,296.70142,46.886768,8431,4.008,2.351,
9964614,297.01178,46.895699,9128,4.049,2.34,
9966976,297.69345,46.824711,7872,3.923,2.542,
9967183,297.75833,46.83223,7703,3.675,3.506,
9968933,298.27631,46.886551,9935,4.205,1.996,
9969040,298.30484,46.83519,9587,4.081,2.313,
9969687,298.50168,46.85284,8266,3.939,2.565,
9970568,298.75479,46.874779,8035,3.709,3.312,
9970937,298.854,46.826939,8527,3.633,3.956,
9971786,299.09573,46.860538,7841,3.719,3.419,
9973488,299.66046,46.828629,7780,3.658,3.516,
9973555,299.68161,46.897202,8319,3.735,3.219,
9992811,281.99005,46.926609,8441,3.775,3.002,
10001145,286.94516,46.90519,7865,3.941,2.322,
10001456,287.13641,46.97364,7956,4.072,2.072,
10001547,287.1915,46.971729,9328,3.666,3.926,
10002462,287.67148,46.976231,9880,4.092,2.325,
10002897,287.92383,46.9202,7709,3.746,2.839,
10004660,288.79865,46.916222,9416,3.663,4.009,
10014604,293.08423,46.99345,7558,4.14,1.819,
10014649,293.10574,46.974628,8961,3.955,2.64,
10015534,293.48288,46.972912,8128,4.041,2.192,
10024053,296.55341,46.973061,8843,3.843,2.763,
10025929,297.11371,46.91935,9051,4.086,2.21,
10026779,297.34982,46.947891,7717,3.675,3.438,
10027563,297.57883,46.912239,7545,3.539,3.941,
10028433,297.81384,46.900349,7535,4.072,1.955,
10035772,300.02188,46.906342,7504,3.525,4.501,
10056425,282.82043,47.03204,8205,4.048,2.229,
10056931,283.09128,47.048191,7803,3.872,2.722,
10063044,286.29077,47.076221,7652,3.974,2.242,
10068389,289.00693,47.003078,8665,3.787,2.985,
10069536,289.56955,47.02145,8814,4.099,2.132,
10070645,290.0303,47.063389,8192,4.069,2.031,
10071056,290.19754,47.07753,7707,4.028,2.082,
10082291,294.61533,47.089729,7984,4.168,1.89,
10082844,294.80243,47.019032,9643,4.142,2.132,
10083442,295.01291,47.090488,7507,4.084,1.976,
10083510,295.03833,47.099892,7500,3.978,2.316,
10087801,296.48743,47.097397,7734,4.17,1.774,
10090947,297.41858,47.006569,7504,3.958,2.214,
10091829,297.67151,47.009499,7751,3.947,2.481,
10129532,286.86945,47.14003,8003,3.831,2.775,
10130777,287.50137,47.186691,8262,3.726,3.181,
10134571,289.25296,47.139919,7945,4.062,2.053,
10134800,289.35248,47.142319,8137,3.712,3.31,
10135536,289.69278,47.11338,9051,4.086,2.21,
10136603,290.0787,47.13015,8109,3.8,2.81,
10148766,294.67935,47.190773,8195,4.263,1.471,
10153555,296.24786,47.127991,7868,4.042,2.114,
10156064,296.99341,47.146648,7652,4.104,1.921,
10156332,297.07047,47.147621,8572,4.211,1.793,
10158173,297.58527,47.195042,9295,4.253,1.787,
10159927,298.05627,47.107639,8076,4.075,2.081,
10165570,299.62857,47.14436,8281,3.961,2.488,
10166360,299.85904,47.106941,8135,3.979,2.304,
10195926,286.36084,47.26342,7620,3.633,3.339,
10198116,287.49731,47.286221,9464,4.116,2.184,
10199055,287.98907,47.267101,7691,4.008,2.141,
10206643,291.36563,47.268677,7542,3.966,2.112,
10206803,291.42847,47.202919,9107,3.867,3.031,
10213987,294.27151,47.288738,8051,3.966,2.347,
10214522,294.44986,47.27306,7514,3.937,2.549,
10215038,294.62366,47.233551,8245,3.756,3.117,
10216016,294.97659,47.28632,7904,4.006,2.222,
10219475,296.14413,47.277828,7828,4.123,1.872,
10220707,296.54749,47.236469,7798,3.948,2.411,
10222716,297.12976,47.299019,7816,3.84,2.768,
10228398,298.68533,47.213661,7587,4.129,1.843,
10228991,298.84229,47.244778,7861,3.838,2.875,
10229037,298.85431,47.214458,8009,3.69,3.352,
10232091,299.69119,47.257729,8394,3.772,3.015,
10232303,299.74881,47.250179,7675,3.861,2.737,
10253943,281.85199,47.301579,7968,3.685,3.38,
10258260,284.30637,47.331261,7719,3.973,2.242,
10259530,284.9397,47.335369,7956,3.843,2.743,
10263800,287.20193,47.374569,8818,3.834,3.115,
10264728,287.74857,47.33934,7994,3.926,2.473,
10274078,291.87531,47.3466,8691,4.072,2.193,
10275380,292.39825,47.30941,7530,3.649,3.544,
10275747,292.53851,47.364422,7589,4.06,1.99,
10279745,294.10541,47.379372,7872,3.923,2.542,
10281360,294.66336,47.390141,7776,4.019,2.106,
10284603,295.83929,47.36623,8394,3.779,3.021,
10284901,295.94324,47.342312,8423,3.764,3.089,
10285770,296.2272,47.34552,7894,4.03,2.185,
10288183,296.95715,47.337559,7901,3.995,2.258,
10289211,297.24481,47.390469,7895,3.905,2.549,
10290088,297.48871,47.36261,8930,4.035,2.352,
10291683,297.92957,47.39061,8572,3.776,3.034,
10293818,298.53009,47.340752,7872,3.923,2.542,
10296488,299.2587,47.343071,7705,3.429,5.004,
10297233,299.46954,47.317261,7689,3.965,2.358,
10322290,283.38724,47.44622,8855,3.818,2.858,
10324066,284.35104,47.450581,7713,4.201,1.648,
10334551,289.85342,47.402927,9409,4.127,2.141,
10340843,292.3681,47.49752,9965,3.808,3.495,
10345939,294.2821,47.411091,7671,3.711,3.209,
10350769,295.97668,47.410461,7693,3.998,2.249,
10354997,297.30292,47.417252,8761,4.001,2.438,
10355055,297.31918,47.407581,8319,3.735,3.219,
10359526,298.56812,47.49194,8211,4.077,2.013,
10362470,299.3942,47.456669,8040,3.707,3.325,
10383620,280.83771,47.578991,7694,3.979,2.224,
10385841,282.27533,47.558029,9189,3.952,2.698,
10394172,286.93652,47.545101,9229,4.106,2.179,
10394576,287.16193,47.519791,8184,3.716,3.297,
10395652,287.76556,47.512569,8665,3.787,2.985,
10398450,289.18964,47.558182,7710,3.878,2.348,
10405887,292.29214,47.52562,9395,3.877,3.045,
10407522,292.96976,47.596661,8162,3.741,3.191,
10407873,293.10809,47.573399,7507,3.42,4.989,
10416175,296.168,47.563839,7631,4.019,2.042,
