kepler_id,ra,dec,Teff,logg,Radius
2311295,293.28271,37.659409,6173,4.251,1.259
2311530,293.32819,37.677509,6297,4.297,1.18
2421693,285.75671,37.79388,6370,4.22,1.288
2422886,286.15402,37.720375,6543,4.19,1.361
2423809,286.45853,37.771423,6006,4.125,1.323
2424276,286.61868,37.71904,6690,4.321,1.26
2437354,290.2204,37.776871,6082,4.184,1.278
2438911,290.40051,37.767658,6401,4.323,1.197
2438927,290.40353,37.739368,6729,4.359,1.212
2439459,290.52155,37.748989,6085,4.278,1.195
2439782,290.6019,37.715881,6093,4.179,1.385
2439996,290.65802,37.758335,6253,4.333,1.179
2440128,290.69022,37.764339,6697,4.315,1.363
2440757,290.84369,37.728828,6017,4.22,1.339
2441175,290.94205,37.76651,6450,4.386,1.155
2442154,291.17673,37.778172,6493,4.244,1.343
2443181,291.40967,37.740139,6282,4.32,1.311
2443476,291.47375,37.715649,6110,4.368,1.15
2443937,291.57874,37.712742,6602,4.354,1.223
2444084,291.61224,37.79726,6224,4.139,1.347
2445004,291.81647,37.700031,6058,4.169,1.374
2445023,291.82269,37.75856,6281,4.384,1.168
2445134,291.8497,37.738621,6247,4.225,1.314
2445298,291.88208,37.763088,6634,4.367,1.193
2446436,292.13046,37.734261,6063,4.227,1.199
2447187,292.27667,37.756439,6289,4.175,1.379
2447384,292.31467,37.787151,6468,4.327,1.229
2447832,292.40894,37.713699,6446,4.117,1.393
2448113,292.47147,37.772362,6319,4.174,1.397
2448426,292.54788,37.76244,6257,4.223,1.264
2449055,292.69012,37.739922,6500,4.371,1.187
2449099,292.69769,37.735161,6103,4.298,1.188
2449247,292.73077,37.767159,6044,4.315,1.15
2449555,292.80661,37.742661,6418,4.395,1.171
2449939,292.89273,37.71032,6091,4.116,1.349
2450356,292.98529,37.762539,6195,4.229,1.247
2450944,293.12073,37.749538,6780,4.328,1.331
2451037,293.1441,37.702202,6248,4.328,1.181
2452010,293.35178,37.713299,6057,4.275,1.218
2452180,293.38763,37.79837,6191,4.264,1.203
2452697,293.49945,37.799229,6726,4.34,1.257
2452922,293.54846,37.734364,6167,4.109,1.404
2554834,286.01901,37.864662,6033,4.154,1.37
2555118,286.10791,37.806324,6167,4.206,1.363
2556744,286.62219,37.816784,6392,4.329,1.283
2557960,287.00598,37.885132,6350,4.171,1.326
2558705,287.25375,37.86451,6453,4.148,1.315
2569327,290.16064,37.889389,6220,4.264,1.198
2571008,290.37375,37.865608,6493,4.274,1.235
2571780,290.55328,37.84586,6058,4.276,1.201
2572029,290.60806,37.801891,6103,4.331,1.16
2572232,290.65271,37.886551,6890,4.312,1.373
2572318,290.67172,37.895821,6063,4.241,1.217
2573843,291.02591,37.817848,6309,4.276,1.262
2574183,291.10471,37.823341,6450,4.386,1.155
