kepler_id,ra,dec,Teff,logg,Radius
7762426,294.90573,43.429871,3410,4.953,0.298
7770831,297.27417,43.459129,3330,5.023,0.241
7771186,297.35016,43.46225,3655,4.878,0.379
7773724,297.94318,43.46526,3407,4.923,0.324
7797630,279.90259,43.59259,3599,4.931,0.341
7799514,281.17566,43.586552,3052,5.173,0.152
7799844,281.38141,43.545448,2961,5.205,0.139
7799941,281.43185,43.519016,2700,5.275,0.118
7800087,281.52316,43.536991,3638,4.818,0.44
7802933,283.24509,43.5942,3698,4.775,0.47
7807840,285.89243,43.56823,3683,4.688,0.563
7807873,285.90802,43.53495,3514,4.888,0.365
7809312,286.65384,43.507488,3697,4.81,0.443
7809715,286.8667,43.544659,3586,4.865,0.389
7809767,286.89331,43.549953,2806,5.249,0.125
7810653,287.31595,43.53096,3659,4.773,0.472
7811438,287.67087,43.590038,3514,4.907,0.358
7812368,288.12244,43.510841,3661,4.806,0.448
7817457,290.17786,43.596539,2661,5.283,0.116
7817489,290.18896,43.50684,3631,4.803,0.453
7818447,290.47928,43.505268,2661,5.283,0.116
7819263,290.75037,43.584232,2661,5.283,0.116
7830804,294.59732,43.513653,3141,5.136,0.17
7836428,296.28238,43.588451,3581,4.846,0.406
7840840,297.47092,43.54686,3651,4.855,0.402
7847566,299.05243,43.596828,3401,4.921,0.325
7867964,280.64258,43.619499,3594,4.868,0.388
7870339,282.198,43.6092,3694,4.686,0.566
7875011,284.7236,43.606369,3381,4.945,0.302
7877209,285.97021,43.640942,3520,4.907,0.349
7878428,286.60645,43.60664,3680,4.784,0.461
7881278,288.048,43.691029,3675,4.812,0.436
7884347,289.5061,43.608681,3563,4.888,0.368
7890140,291.48407,43.665852,3694,4.925,0.336
7898781,294.44772,43.686069,3520,4.907,0.349
7907423,296.98505,43.65852,3561,4.855,0.411
7936514,280.5639,43.731991,3489,4.868,0.379
7936874,280.81543,43.72263,3555,5.051,0.245
7938239,281.80905,43.74052,3577,4.949,0.327
7938615,282.02814,43.753689,3698,4.81,0.444
7938787,282.12161,43.77013,3280,5.043,0.224
7939565,282.56656,43.754581,3295,5.062,0.215
7940020,282.81744,43.759022,3360,4.961,0.287
7941437,283.48621,43.777832,3491,4.87,0.379
7946626,286.23495,43.775822,3401,4.921,0.325
7949266,287.60593,43.7686,3323,4.995,0.258
7949846,287.88934,43.770351,3530,4.876,0.376
7951019,288.43616,43.722038,3337,5.043,0.239
7954192,289.79053,43.70496,3583,4.842,0.409
7954195,289.79202,43.715809,3397,4.925,0.321
7954838,290.04181,43.792259,2661,5.283,0.116
7955545,290.27716,43.796452,2661,5.283,0.116
7957625,290.97351,43.768536,3327,5.114,0.189
7960044,291.81143,43.705704,3107,5.151,0.162
7960606,292.01175,43.771271,3391,4.936,0.311
7967416,294.38269,43.799149,3521,4.928,0.34
7973675,296.29852,43.757359,3505,4.898,0.357
7976273,297.05231,43.76022,3697,4.804,0.446
7976805,297.18484,43.749489,3522,4.848,0.4
7983929,298.89423,43.76693,3683,4.688,0.563
7986325,299.48114,43.780354,2661,5.283,0.116
7988823,300.0806,43.78688,3553,4.887,0.368
8004730,280.14667,43.836399,3546,4.842,0.411
8004876,280.2417,43.830109,3348,4.972,0.277
8005405,280.6301,43.812309,3337,5.043,0.239
8006220,281.18051,43.891979,3320,5.051,0.23
8007234,281.86255,43.800308,3441,4.929,0.321
8007910,282.29626,43.840302,3328,4.991,0.261
8008320,282.54959,43.868801,3628,4.825,0.431
8009549,283.22076,43.85603,3697,4.804,0.446
8012943,284.86914,43.862919,3482,4.904,0.349
8013221,285.04828,43.841801,3602,4.891,0.377
8025611,290.69092,43.811481,3474,4.878,0.369
8027679,291.39346,43.867222,3347,5.101,0.196
8035000,293.97754,43.874931,3574,4.858,0.398
8036551,294.47217,43.870255,2927,5.215,0.135
8040522,295.72067,43.896938,3194,5.112,0.183
8046690,297.42639,43.827271,3674,4.818,0.434
8052057,298.68948,43.851727,2661,5.283,0.116
8052511,298.79089,43.836689,3606,4.855,0.399
8074386,280.73834,43.906391,3557,5.137,0.188
8074803,281.0556,43.97253,3469,4.882,0.366
8077356,282.60666,43.93523,3422,4.914,0.334
8082910,285.4761,43.94046,3698,4.775,0.47
8086398,287.35947,43.993671,3681,4.789,0.46
8086878,287.59836,43.99942,3698,4.81,0.444
8087195,287.75098,43.996342,3535,4.934,0.33
8090928,289.49277,43.930779,3358,4.999,0.26
8093068,290.26657,43.988209,2661,5.283,0.116
8093199,290.29501,43.917488,2661,5.283,0.116
8093291,290.31793,43.949093,2661,5.283,0.116
8093473,290.36865,43.92934,3360,4.961,0.287
8093813,290.45532,43.943401,3540,4.836,0.411
8095972,291.21509,43.96368,3291,5.023,0.237
8098228,292.03653,43.96151,3688,4.789,0.462
