kepler_id,RA,Dec,Teff,logg,Radius,Prot
1996240,286.35657,37.46463,5900,4.478,0.91,
1996405,286.41016,37.465771,5837,4.339,1.1,
2010379,290.44022,37.441929,5896,4.448,0.953,
2011352,290.68365,37.497162,5912,4.439,0.957,
2011444,290.70828,37.415981,5880,4.518,0.917,
2011901,290.827,37.449139,5452,4.412,0.936,
2012186,290.8873,37.448189,5829,4.418,0.94,
2015138,291.58673,37.425129,5747,4.407,1.041,
2015659,291.69852,37.478889,5666,4.357,1.055,
2015983,291.78,37.496319,5780,4.438,1,
2016248,291.83887,37.474628,5596,4.489,0.907,
2016447,291.89465,37.475628,5780,4.438,1,
2016814,291.96246,37.421379,5648,4.332,1.142,
2017529,292.11179,37.403461,5938,4.241,1.122,
2018350,292.30209,37.406521,5847,4.511,0.91,
2018481,292.33347,37.430889,5159,4.468,0.905,
2018492,292.33426,37.460571,5112,4.444,0.908,
2019050,292.45526,37.400162,5984,4.497,0.912,
2019174,292.48135,37.480808,5665,4.304,1.144,
2019709,292.60028,37.49007,5929,4.345,1.098,
2020086,292.68256,37.42865,5551,4.266,1.137,
2020452,292.75754,37.488258,5957,4.506,0.937,
2020463,292.75958,37.405331,5973,4.436,0.937,
2020703,292.80389,37.437832,5624,4.419,1.004,
2020763,292.81485,37.412594,5780,4.438,1,
2020997,292.86832,37.425629,5911,4.37,1.068,
2021165,292.90927,37.456299,5944,4.372,1.007,
2140538,285.9649,37.573959,5440,4.404,0.938,
2140601,285.98846,37.529102,5780,4.438,1,
2140644,286.00305,37.517509,5897,4.362,1.049,
2141736,286.35513,37.590012,5676,4.306,1.058,
2141852,286.39154,37.595711,5874,4.47,0.908,
2141865,286.39676,37.597649,5812,4.497,0.91,
2141959,286.43283,37.507332,5574,4.258,1.144,
2142778,286.71228,37.573238,5712,4.33,1.132,
2142913,286.7547,37.577351,5934,4.427,0.997,
2154965,290.22736,37.596779,5594,4.418,0.977,
2154980,290.23218,37.598091,5462,4.436,0.933,
2155064,290.25046,37.55254,5971,4.336,1.083,
2156069,290.49567,37.51738,5860,4.512,0.908,
2156490,290.59247,37.593941,5979,4.38,0.917,
2156529,290.60373,37.578171,5685,4.478,0.967,
2156693,290.64487,37.586712,5957,4.498,0.971,
2156720,290.65219,37.531361,5659,4.528,0.904,
2156809,290.67206,37.515442,5622,4.451,0.957,
2157192,290.76251,37.587593,5780,4.438,1,
2157495,290.82941,37.586079,5919,4.485,1,
2157949,290.93607,37.566029,5541,4.525,0.922,
2158237,291.00861,37.535172,5984,4.505,0.931,
2158534,291.08139,37.59433,5922,4.387,1.073,
2158566,291.08826,37.550011,5443,4.326,1.076,
2158770,291.1377,37.571262,5780,4.438,1,
2159320,291.25967,37.509838,5842,4.434,0.964,
2159377,291.27246,37.576023,5780,4.438,1,
2159447,291.28845,37.548458,5762,4.291,1.118,
2161949,291.8129,37.55587,5683,4.326,1.115,
2161984,291.82019,37.53159,5819,4.361,1.107,
2163644,292.18027,37.54797,5999,4.397,1.052,
2163706,292.1944,37.554951,5591,4.42,0.968,
2164157,292.28665,37.569611,5984,4.521,0.906,
2164190,292.29626,37.584808,5486,4.426,0.902,
2164604,292.38242,37.536308,5717,4.466,0.961,
2164834,292.43488,37.576401,5458,4.374,0.984,
2165722,292.62756,37.56958,5778,4.332,1.132,
2165797,292.64597,37.58535,5734,4.467,0.902,
2165874,292.66705,37.546661,5413,4.316,1.101,
2166152,292.72409,37.581844,5780,4.438,1,
2166322,292.76239,37.590229,5957,4.506,0.937,
2166352,292.7681,37.525799,5830,4.449,0.978,
