kepler_id,ra,dec,Teff,logg,Radius
2141193,286.19864,37.59782,5125,4.513,0.795
2142091,286.47687,37.5056,5022,4.472,0.87
2156072,290.49652,37.541248,4988,4.572,0.771
2156757,290.66119,37.571541,5074,4.537,0.763
2156807,290.67136,37.508961,5135,4.464,0.874
2156848,290.68063,37.565601,5113,4.609,0.743
2157305,290.79022,37.505638,5036,4.549,0.741
2157986,290.94598,37.56086,5162,4.486,0.855
2159486,291.29648,37.549629,4879,4.558,0.735
2162268,291.88782,37.54298,4791,4.561,0.734
2163201,292.09671,37.594528,5177,4.511,0.795
2163634,292.17892,37.514591,4594,4.557,0.752
2165002,292.46976,37.567791,4987,4.602,0.716
2165352,292.54315,37.555759,4994,4.62,0.72
2165440,292.56503,37.563251,5021,4.589,0.717
2166962,292.89951,37.58017,5099,4.491,0.832
2168638,293.24747,37.596748,5144,4.588,0.761
2282652,285.86258,37.68248,5089,4.49,0.834
2282783,285.90796,37.675388,4895,4.561,0.729
2283092,286.02344,37.699612,4882,4.464,0.88
2284312,286.41138,37.648239,4916,4.513,0.814
2285672,286.86536,37.65366,4937,4.446,0.905
2285922,286.9458,37.685719,5164,4.609,0.744
2297573,290.22098,37.603149,4864,4.555,0.74
2297586,290.22382,37.684391,4921,4.546,0.756
2297672,290.24069,37.674671,4971,4.619,0.718
2297721,290.25,37.66888,4932,4.618,0.718
2297952,290.29388,37.675301,4994,4.542,0.756
2298049,290.3172,37.641258,5028,4.479,0.859
2298664,290.45224,37.689732,5062,4.615,0.731
2299540,290.66727,37.600231,4930,4.587,0.719
2299738,290.71725,37.64901,5094,4.618,0.7
2300096,290.80231,37.62212,5086,4.552,0.806
2301985,291.23553,37.671219,5127,4.558,0.724
2302108,291.26575,37.605511,4998,4.6,0.727
2302188,291.28232,37.685043,5183,4.551,0.809
2302548,291.36478,37.609169,5095,4.566,0.78
2303311,291.51929,37.674622,4995,4.498,0.858
2304798,291.85504,37.605991,5146,4.538,0.754
2305562,292.03079,37.612633,4937,4.549,0.75
2305879,292.09674,37.631538,4928,4.561,0.744
2308071,292.56729,37.651699,5128,4.609,0.739
2308103,292.57266,37.673248,5008,4.629,0.701
2308887,292.73773,37.609749,5122,4.486,0.839
2311350,293.29419,37.643608,5168,4.509,0.797
2311578,293.33466,37.66954,4823,4.53,0.79
2422011,285.85757,37.768929,4968,4.603,0.759
2422251,285.95505,37.76627,5146,4.472,0.86
2422714,286.10202,37.713821,5185,4.571,0.705
2422906,286.16406,37.789051,5089,4.559,0.757
2422920,286.16714,37.769691,5052,4.521,0.786
2423454,286.34891,37.759972,4960,4.453,0.897
2423813,286.45938,37.799278,5108,4.578,0.721
2423839,286.46695,37.79921,4978,4.47,0.875
2423938,286.50079,37.752659,4898,4.51,0.816
2423939,286.50128,37.764271,5039,4.604,0.713
2423951,286.50699,37.784039,5114,4.554,0.733
2424682,286.76498,37.706951,4915,4.512,0.812
2425407,287.00644,37.783291,4987,4.531,0.773
2425537,287.04773,37.753239,5147,4.619,0.725
2436148,290.11139,37.750622,4929,4.531,0.778
2436160,290.11292,37.726719,5058,4.597,0.757
2437112,290.20361,37.774342,4808,4.589,0.715
2437792,290.25293,37.753139,4711,4.564,0.731
2438010,290.27252,37.785789,4979,4.566,0.742
2438264,290.29651,37.749489,5097,4.554,0.797
2438469,290.32278,37.711441,5109,4.492,0.829
2438588,290.33969,37.726719,5063,4.593,0.748
2439354,290.49908,37.705181,4662,4.574,0.725
2442165,291.17996,37.75716,5167,4.585,0.796
2442210,291.19046,37.726059,5152,4.517,0.786
2442654,291.29257,37.785389,4991,4.513,0.804
2443037,291.37418,37.711681,4536,4.567,0.733
2444406,291.68286,37.746342,4361,4.58,0.717
2444527,291.71127,37.774376,5069,4.546,0.744
2444597,291.72403,37.752628,5008,4.506,0.814
2445019,291.82196,37.768749,4681,4.578,0.712
2445329,291.88885,37.71706,5189,4.546,0.739
2446261,292.09167,37.733398,5018,4.61,0.736
2447838,292.41046,37.7556,4815,4.528,0.79
2448186,292.4888,37.761162,5137,4.608,0.719
2448711,292.60455,37.709492,4884,4.616,0.719
2449818,292.86374,37.703072,5061,4.579,0.735
2449849,292.87079,37.792191,5109,4.521,0.799
2452544,293.46924,37.789742,5197,4.476,0.848
2452699,293.49988,37.718048,5176,4.612,0.738
2453079,293.58688,37.794991,4873,4.53,0.783
2453267,293.62802,37.797058,4612,4.561,0.741
2554695,285.97354,37.863209,5094,4.551,0.736
2555476,286.21121,37.883129,4748,4.562,0.734
2555568,286.245,37.868382,5147,4.497,0.819
2555722,286.29398,37.871891,5066,4.496,0.827
2556081,286.40237,37.812328,4753,4.514,0.815
2556123,286.41901,37.828819,4929,4.531,0.778
2556953,286.69431,37.838772,5069,4.546,0.744
2558623,287.22394,37.836311,5112,4.533,0.767
2568708,290.05902,37.88063,5174,4.588,0.772
2570059,290.23779,37.803329,5071,4.514,0.796
2570263,290.25827,37.810612,4808,4.574,0.712
2570505,290.28955,37.888168,4986,4.558,0.733
2570773,290.33072,37.882092,4700,4.605,0.707
2570825,290.33969,37.829819,5094,4.45,0.901
2571155,290.40143,37.829529,5038,4.625,0.709
2571812,290.56009,37.810982,4873,4.626,0.701
2572455,290.70789,37.893661,5132,4.492,0.881
